step,mean_nv,std_nv,q_20_nv,q_40_nv,q_60_nv,q_80_nv,q_100_nv,obs_prop_particle_patch
0,126.80179915371343,66.01662607521916,67.21866548064185,101.16846358190529,135.96922837149253,182.87609614990882,339.0624120376289,0.9125
1,126.80179915371343,66.01662607521916,67.21866548064185,101.16846358190529,135.96922837149253,182.87609614990882,339.0624120376289,0.9125
2,127.28660469651403,65.99917253106908,67.51023624317044,101.225743126397,135.06784735748647,184.44517798059294,344.33259876466155,0.9175
3,128.41555974176995,66.78444253084484,68.29384060563835,104.48076700184927,136.01565746399038,186.15154643324811,349.3462258685647,0.915
4,130.22338687653632,68.30589338778053,69.84044456588312,105.25918111058843,137.33349880418123,188.90192806490168,400.2893507663089,0.9175
5,132.5206388298014,70.41444195372502,70.0197930150149,107.33599258492467,140.46070030570863,192.11586668764042,496.8707810696342,0.9175
6,135.1133653992369,73.83328762155709,70.71773347864718,108.72045815403483,144.07369317647058,192.8312855635626,587.5857897903336,0.9175
7,138.21989679904286,77.5343777792711,71.80446154910159,110.16999696681864,146.2367123657004,196.83472826316648,673.0316241693718,0.92
8,141.44530145378064,81.92132449707222,72.17440832727533,111.0022937255879,147.47774263177757,201.0854656125352,752.0361004207882,0.92
9,144.96153756475567,86.59078980669511,73.10693772200416,113.0689264980109,151.26567077808315,204.916398141999,823.3904815792176,0.9175
10,148.5308300786954,91.32695595874918,73.98094355510888,114.29657899680006,152.94398075298855,207.985097395514,885.8703310632304,0.9175
11,152.13171599800052,96.1251186756516,75.3478148058317,116.31363594440936,155.4357288372577,210.86115443113962,938.2628395108525,0.9175
12,155.92913811730543,100.92596202469174,77.53514955325728,117.10841704867923,159.50197990234605,214.32400710693966,979.3984090997404,0.92
13,159.41609993231344,105.39443838676117,78.55904249984857,118.58101802136716,162.62373148200444,218.77600949430484,999.9820602058703,0.925
14,163.05487839665744,109.64228508197247,80.7299251761334,119.4751213426618,166.5216630352106,222.7956295055677,1009.915838883693,0.925
15,166.57134866928712,113.50893015790224,80.48478510775654,122.09785480093788,168.30112521163386,226.30996141676764,998.7040132652529,0.925
16,169.81788636111236,116.64415495519084,81.64263685849615,122.29398931428743,171.94711774558678,232.5992659850312,982.4551206395244,0.925
17,173.18104729478324,119.51068647451042,83.25349293360375,125.13362390567352,173.11398443570044,236.94326231388203,954.1781123041195,0.9275
18,176.35904384796555,122.3667836839952,84.82321132923293,127.11154784015973,175.0297076422398,240.90672496085506,927.0838154122513,0.925
19,179.30188268568847,125.02387271119863,85.66780713363038,127.58760810500242,177.00685999054963,246.25463724949537,901.6674162566741,0.925
20,182.0961253028732,127.61921714365495,86.01851162898842,128.5653906648206,178.16333071107005,249.86909654011143,877.8425619940991,0.925
21,184.6588820812789,129.8594902101719,87.62105943112458,129.68880712065533,180.6367881404478,255.41210229729765,854.4871748708986,0.9275
22,187.1236541340674,132.07634918027597,88.40202134477074,131.8258786147215,183.25143777466954,260.0568596397057,882.6293759467105,0.9325
23,189.57321032674858,134.200509329035,88.96673228025463,133.04826037543143,183.20012949949827,263.78402688300156,909.7543743065191,0.9325
24,191.7646615041573,136.2198795076143,89.42536491267204,132.957179861811,185.70826627212358,267.4950032185273,929.4057079449018,0.9375
25,193.60303019338872,137.94454360655837,91.03729490207476,134.09813432365064,186.8814506803279,269.6205014807936,935.4317464290607,0.9375
26,195.52292843527303,139.32213471562423,91.7688244184009,135.75301538364715,187.53074703429954,272.93368875449784,927.9691826323201,0.945
27,197.24002317747528,140.3677276775344,91.22341633887206,136.39127520551273,188.8037821757992,276.56697348059737,934.0063429557026,0.9475
28,198.93488054080703,141.18981359054615,91.97899142182257,137.83139913479806,191.60495830069243,280.0954044689041,940.489161847529,0.95
29,200.36378615017486,142.00409500336437,93.08811243916334,138.9463788397375,192.74820056549828,281.77030504171364,944.0919608826918,0.95
30,201.78494735517896,142.72517778590725,93.58245720241624,141.20852342074616,193.66328115059895,284.0100425979198,949.5927323780853,0.955
31,203.02976763281788,143.43306014422248,93.89938329046774,141.71066258033238,193.4850110089926,289.3105726357234,958.7473976006785,0.9525
32,203.95796858068016,144.14637776709193,93.08340410885477,142.08477632487205,193.75531518957152,288.4597220334001,963.1577496424223,0.95
33,204.84829568447134,144.65568055205392,93.51090218209043,141.780777927994,194.75776048539598,291.2966441036482,967.9056759630488,0.9575
